id,token,lemma,upos,sentence_id
1070764053478473728,Tomio,Tomio,PROPN,1
1070764053478473728,Okamura,Okamura,PROPN,1
1070764053478473728,:,:,PUNCT,1
1070764053478473728,Hnutí,hnutí,NOUN,1
1070764053478473728,SPD,SPD,PROPN,1
1070764053478473728,podpořilo,podpořit,VERB,1
1070764053478473728,snížení,snížení,NOUN,1
1070764053478473728,DPH,DPH,NOUN,1
1070764053478473728,na,na,ADP,1
1070764053478473728,jízdenky,jízdenka,NOUN,1
1070764053478473728,:,:,PUNCT,1
1070764053478473728,prostřednictvím,prostřednictví,NOUN,1
1070764053478473728,@,@,PUNCT,1
1070764053478473728,YouTube,YouTube,PROPN,2
1070593699334275072,Tomio,Tomio,PROPN,1
1070593699334275072,Okamura,Okamura,PROPN,1
1070593699334275072,:,:,PUNCT,1
1070593699334275072,Přísná,přísný,ADJ,1
1070593699334275072,imigrační,imigrační,ADJ,1
1070593699334275072,politika,politika,NOUN,1
1070593699334275072,:,:,PUNCT,1
1070593699334275072,prostřednictvím,prostřednictví,NOUN,1
1070593699334275072,@,@,PUNCT,1
1070593699334275072,YouTube,YouTube,PROPN,2
1070403716681994240,Toomio,Toomio,PROPN,1
1070403716681994240,Okamura,Okamura,PROPN,1
1070403716681994240,:,:,PUNCT,1
1070403716681994240,Tomio,Tomio,PROPN,1
1070403716681994240,Okamura,Okamura,PROPN,1
1070403716681994240,na,na,ADP,1
1070403716681994240,Svobodném,svobodný,ADJ,1
1070403716681994240,vysílači,vysílač,NOUN,1
1070403716681994240,:,:,PUNCT,1
1070403716681994240,prostřednictvím,prostřednictví,NOUN,1
1070403716681994240,@,@,PUNCT,1
1070403716681994240,YouTube,YouTube,PROPN,2
1070217406449102848,Tomio,Tomio,PROPN,1
1070217406449102848,Okamura,Okamura,PROPN,1
1070217406449102848,:,:,PUNCT,1
1070217406449102848,Chybný,chybný,ADJ,1
1070217406449102848,státní,státní,ADJ,1
1070217406449102848,rozpočet,rozpočet,NOUN,1
1070217406449102848,:,:,PUNCT,1
1070217406449102848,prostřednictvím,prostřednictví,NOUN,1
1070217406449102848,@,@,PUNCT,1
1070217406449102848,YouTube,YouTube,PROPN,2
1070057321483644928,Dnes,dnes,ADV,1
1070057321483644928,zveřejněný,zveřejnění,ADJ,1
1070057321483644928,žebříček,žebříček,NOUN,1
1070057321483644928,důvěry,důvěra,NOUN,1
1070057321483644928,politikům,politika,NOUN,1
